deed_id,record_date,apn,property_address,grantor,grantee,doc_type,sale_amount,registered_agent,grantee_mailing_addr
D-1001,2019-03-14,112-45-009,"450 W Camelback Rd, Phoenix AZ","SUNBELT RETAIL HOLDINGS LLC","CAMELBACK PLAZA PROPERTIES LLC",GRANT_DEED,4200000,"CT Corporation System","1 E Washington St Ste 2300, Phoenix AZ"
D-1002,2021-07-22,112-45-009,"450 W Camelback Rd, Phoenix AZ","CAMELBACK PLAZA PROPERTIES LLC","CAMELBACK PLAZA PROPERTIES II, LLC",GRANT_DEED,5100000,"CT Corporation System","1 E Washington St Ste 2300, Phoenix AZ"
D-1003,2023-11-02,112-45-009,"450 W Camelback Rd, Phoenix AZ","CAMELBACK PLAZA PROPERTIES II, LLC","CAMELBACK PLAZA PROPS 2 LLC",QUITCLAIM,0,"CT Corporation System","1 E Washington St Ste 2300, Phoenix AZ"
D-1004,2020-01-09,118-22-440,"3300 N Central Ave, Phoenix AZ","DESERT CAPITAL PARTNERS LP","CENTRAL TOWER OWNER LLC",GRANT_DEED,18500000,"Corporation Service Company","2390 E Camelback Rd Fl 4, Phoenix AZ"
D-1005,2022-05-18,118-22-440,"3300 N Central Ave, Phoenix AZ","CENTRAL TOWER OWNER LLC","CENTRAL TOWER OWNER, L.L.C.",CORRECTION_DEED,0,"Corporation Service Company","2390 E Camelback Rd Fl 4, Phoenix AZ"
D-1006,2024-02-28,118-22-440,"3300 N Central Ave, Phoenix AZ","CENTRAL TOWER OWNER LLC","DESERT CAP CENTRAL TOWER LLC",GRANT_DEED,21000000,"Corporation Service Company","2390 E Camelback Rd Fl 4, Phoenix AZ"
D-1007,2018-06-30,134-09-118,"7000 E Shea Blvd, Scottsdale AZ","MARICOPA INDUSTRIAL FUND LLC","SHEA LOGISTICS CENTER LLC",GRANT_DEED,9800000,"Cogency Global Inc","4742 N 24th St Ste 300, Phoenix AZ"
D-1008,2023-08-15,134-09-118,"7000 E Shea Blvd, Scottsdale AZ","SHEA LOGISTICS CENTER LLC","SHEA LOGISTICS CTR LLC",GRANT_DEED,12400000,"Cogency Global Inc","4742 N 24th St Ste 300, Phoenix AZ"
D-1009,2021-12-01,201-55-007,"1500 S Mill Ave, Tempe AZ","ASU GATEWAY VENTURES LLC","MILL AVENUE MIXED USE LLC",GRANT_DEED,15200000,"Registered Agents Inc","8 The Green Ste A, Dover DE"
D-1010,2024-09-10,201-55-007,"1500 S Mill Ave, Tempe AZ","MILL AVENUE MIXED USE LLC","MILL AVE MIXED-USE LLC",GRANT_DEED,16750000,"Registered Agents Inc","8 The Green Ste A, Dover DE"
D-1011,2020-04-17,145-30-882,"2200 E Indian School Rd, Phoenix AZ","SONORAN EQUITY GROUP LLC","INDIAN SCHOOL OFFICE LLC",GRANT_DEED,6300000,"CT Corporation System","1 E Washington St Ste 2300, Phoenix AZ"
D-1012,2022-10-25,145-30-882,"2200 E Indian School Rd, Phoenix AZ","INDIAN SCHOOL OFFICE LLC","CAMELBACK PLAZA PROPS 2 LLC",GRANT_DEED,7100000,"CT Corporation System","1 E Washington St Ste 2300, Phoenix AZ"
